time,open,high,low,close,tick_volume
2025-03-21 03:17:00,0.55553,0.55554,0.55548,0.55553,17
2025-03-21 03:18:00,0.55552,0.55559,0.55551,0.55557,20
2025-03-21 03:19:00,0.55555,0.55562,0.55553,0.55561,16
2025-03-21 03:20:00,0.55561,0.55566,0.5556,0.55565,11
2025-03-21 03:21:00,0.55566,0.55575,0.55565,0.55574,20
2025-03-21 03:22:00,0.55573,0.55576,0.55571,0.55571,23
2025-03-21 03:23:00,0.5557,0.55579,0.55569,0.55579,13
2025-03-21 03:24:00,0.5558,0.55589,0.55579,0.55581,24
2025-03-21 03:25:00,0.55582,0.55582,0.55574,0.55575,14
2025-03-21 03:26:00,0.55574,0.55579,0.55573,0.55578,17
2025-03-21 03:27:00,0.55579,0.55579,0.55566,0.5557,18
2025-03-21 03:28:00,0.55571,0.55574,0.55566,0.55569,19
2025-03-21 03:29:00,0.55568,0.55583,0.55566,0.55578,20
2025-03-21 03:30:00,0.55579,0.55585,0.55576,0.5558,31
2025-03-21 03:31:00,0.55578,0.55581,0.55577,0.55581,19
2025-03-21 03:32:00,0.5558,0.55586,0.5558,0.55586,21
2025-03-21 03:33:00,0.55587,0.55595,0.55587,0.55591,21
2025-03-21 03:34:00,0.55592,0.55597,0.5559,0.55595,24
2025-03-21 03:35:00,0.55593,0.55598,0.55591,0.55597,14
2025-03-21 03:36:00,0.55598,0.55612,0.55597,0.5561,30
2025-03-21 03:37:00,0.55612,0.55612,0.55609,0.5561,16
2025-03-21 03:38:00,0.55609,0.55611,0.55604,0.55607,22
2025-03-21 03:39:00,0.55606,0.55608,0.55601,0.55601,14
2025-03-21 03:40:00,0.55601,0.55601,0.5559,0.55591,12
2025-03-21 03:41:00,0.55591,0.55592,0.55585,0.55592,18
2025-03-21 03:42:00,0.55591,0.55594,0.55584,0.55585,22
2025-03-21 03:43:00,0.55585,0.55589,0.5558,0.5558,26
2025-03-21 03:44:00,0.55582,0.55584,0.55577,0.55581,25
2025-03-21 03:45:00,0.55581,0.55583,0.55574,0.55583,26
2025-03-21 03:46:00,0.55581,0.55585,0.55577,0.5558,23
2025-03-21 03:47:00,0.55581,0.55581,0.55563,0.55564,20
2025-03-21 03:48:00,0.55562,0.55562,0.55557,0.55557,13
2025-03-21 03:49:00,0.55556,0.55558,0.55543,0.55546,27
2025-03-21 03:50:00,0.55547,0.55569,0.55547,0.55567,24
2025-03-21 03:51:00,0.55569,0.5557,0.55563,0.55564,14
2025-03-21 03:52:00,0.55565,0.55576,0.55565,0.55573,19
2025-03-21 03:53:00,0.55572,0.55573,0.55564,0.55564,25
2025-03-21 03:54:00,0.55565,0.55567,0.55558,0.55558,22
2025-03-21 03:55:00,0.55559,0.55564,0.55556,0.55563,20
2025-03-21 03:56:00,0.55564,0.55566,0.55561,0.55561,27
2025-03-21 03:57:00,0.55561,0.5557,0.5556,0.5557,18
2025-03-21 03:58:00,0.55571,0.55578,0.55569,0.55577,27
2025-03-21 03:59:00,0.55577,0.55577,0.5557,0.55576,18
2025-03-21 04:00:00,0.55575,0.55579,0.5557,0.55575,21
2025-03-21 04:01:00,0.55576,0.55578,0.55572,0.55573,16
2025-03-21 04:02:00,0.55576,0.55576,0.5556,0.55566,30
2025-03-21 04:03:00,0.55567,0.5558,0.55567,0.55578,16
2025-03-21 04:04:00,0.55577,0.55579,0.55574,0.55576,15
2025-03-21 04:05:00,0.55577,0.55584,0.55577,0.5558,17
2025-03-21 04:06:00,0.55579,0.55588,0.55579,0.55586,12
2025-03-21 04:07:00,0.55585,0.55585,0.55572,0.55574,18
2025-03-21 04:08:00,0.55576,0.55576,0.55562,0.55565,17
2025-03-21 04:09:00,0.55565,0.5557,0.55563,0.55563,10
2025-03-21 04:10:00,0.55564,0.55565,0.55557,0.55562,18
2025-03-21 04:11:00,0.55562,0.5557,0.55562,0.55569,18
2025-03-21 04:12:00,0.5557,0.55574,0.55567,0.55572,17
2025-03-21 04:13:00,0.55571,0.55573,0.55566,0.5557,22
2025-03-21 04:14:00,0.55571,0.55576,0.55569,0.55571,26
2025-03-21 04:15:00,0.55572,0.55576,0.55565,0.55571,25
2025-03-21 04:16:00,0.55572,0.55581,0.5557,0.55579,24
2025-03-21 04:17:00,0.55578,0.55582,0.55578,0.55579,14
2025-03-21 04:18:00,0.55579,0.5558,0.55577,0.55577,15
2025-03-21 04:19:00,0.55578,0.55578,0.55568,0.55569,12
2025-03-21 04:20:00,0.5557,0.55571,0.5556,0.5556,26
2025-03-21 04:21:00,0.5556,0.55562,0.55554,0.55557,26
2025-03-21 04:22:00,0.55557,0.55566,0.55555,0.55555,28
2025-03-21 04:23:00,0.55554,0.55556,0.5555,0.55552,17
2025-03-21 04:24:00,0.55553,0.55554,0.55545,0.5555,21
2025-03-21 04:25:00,0.5555,0.5555,0.55538,0.55538,25
2025-03-21 04:26:00,0.55536,0.55546,0.55536,0.55545,22
2025-03-21 04:27:00,0.55545,0.55548,0.55542,0.55542,9
2025-03-21 04:28:00,0.55541,0.55551,0.55536,0.55547,29
2025-03-21 04:29:00,0.55549,0.55554,0.55543,0.55554,19
2025-03-21 04:30:00,0.55555,0.55559,0.55554,0.55557,10
2025-03-21 04:31:00,0.55558,0.55568,0.55557,0.55565,34
2025-03-21 04:32:00,0.55564,0.55568,0.55563,0.55566,14
2025-03-21 04:33:00,0.55566,0.55569,0.55564,0.55566,18
2025-03-21 04:34:00,0.55568,0.55568,0.55562,0.55563,14
2025-03-21 04:35:00,0.55562,0.55565,0.55558,0.55562,21
2025-03-21 04:36:00,0.55564,0.55567,0.55559,0.55562,17
2025-03-21 04:37:00,0.55562,0.55562,0.55556,0.55559,21
2025-03-21 04:38:00,0.5556,0.55562,0.55555,0.55556,19
2025-03-21 04:39:00,0.55557,0.55563,0.55555,0.55561,19
2025-03-21 04:40:00,0.55561,0.55561,0.55553,0.55553,19
2025-03-21 04:41:00,0.55553,0.5556,0.55553,0.55557,16
2025-03-21 04:42:00,0.55557,0.55559,0.55556,0.55556,14
2025-03-21 04:43:00,0.55557,0.55558,0.55554,0.55555,19
2025-03-21 04:44:00,0.55554,0.55557,0.55552,0.55552,18
2025-03-21 04:45:00,0.55553,0.55566,0.55552,0.55565,26
2025-03-21 04:46:00,0.55566,0.55569,0.55564,0.55569,13
2025-03-21 04:47:00,0.55571,0.55571,0.55555,0.55557,25
2025-03-21 04:48:00,0.55556,0.55556,0.55551,0.55552,17
2025-03-21 04:49:00,0.55553,0.55559,0.55551,0.55554,22
